,score,altitude,region,processing,variety
473,83.17,1402.08,Central America,Washed / Wet,Bourbon
474,83.17,1000.0,Brazil,Semi-Washed / Honey,Bourbon/Typica
475,83.17,900.0,Brazil,Natural / Dry,Bourbon/Typica
476,83.17,1200.0,Central America,Washed / Wet,Bourbon
477,83.17,1850.0,Africa,Natural / Dry,Ethiopian Varieties
478,83.08,1799.0,South America,Washed / Wet,Bourbon
479,83.08,1750.0,South America,Washed / Wet,Bourbon
480,83.08,905.0,Brazil,Semi-Washed / Honey,Bourbon
481,83.08,1.0,Brazil,Natural / Dry,Bourbon
482,83.08,750.0,Asia Pacific,Natural / Dry,Typica
483,83.08,1000.0,Brazil,Natural / Dry,Bourbon/Typica
484,83.08,1200.0,Brazil,Washed / Wet,Bourbon
485,83.08,1300.0,Central America,Washed / Wet,Bourbon/Typica
486,83.08,518.16,Asia Pacific,Natural / Dry,Typica
487,83.08,1300.0,Asia Pacific,Washed / Wet,Typica
488,83.08,518.16,Asia Pacific,Natural / Dry,Typica
489,83.08,1400.0,North America,Washed / Wet,Typica
490,83.08,518.16,Asia Pacific,Natural / Dry,Typica
491,83.08,518.16,Asia Pacific,Washed / Wet,Typica
492,83.08,1775.0,South America,Washed / Wet,Bourbon
493,83.08,1880.0,South America,Washed / Wet,Bourbon
494,83.08,1350.0,Asia Pacific,Natural / Dry,Bourbon
495,83.08,1421.16,Central America,Washed / Wet,Bourbon
496,83.0,890.0,Brazil,Natural / Dry,Bourbon
497,83.0,894.0,Brazil,Natural / Dry,Bourbon
498,83.0,872.0,Brazil,Natural / Dry,Bourbon
499,83.0,1473.0,Africa,Washed / Wet,Bourbon
500,83.0,1645.0,Africa,Natural / Dry,Bourbon
501,83.0,442.0,South America,Washed / Wet,Bourbon
502,83.0,1550.0,Asia Pacific,Washed / Wet,Bourbon
503,83.0,1550.0,Central America,Washed / Wet,Bourbon/Typica
504,83.0,1371.6,Central America,Washed / Wet,Bourbon/Typica
505,83.0,1500.0,Central America,Washed / Wet,Bourbon
506,83.0,1000.0,Brazil,Natural / Dry,Bourbon/Typica
507,83.0,1200.0,Asia Pacific,Washed / Wet,Typica
508,83.0,1800.0,Africa,Washed / Wet,Typica
509,83.0,853.44,North America,Washed / Wet,Bourbon
510,83.0,1500.0,Central America,Washed / Wet,Bourbon
511,83.0,1200.0,Central America,Washed / Wet,Bourbon/Typica
512,83.0,1250.0,Brazil,Semi-Washed / Honey,Bourbon
513,83.0,1775.0,South America,Washed / Wet,Bourbon
514,83.0,1750.0,South America,Washed / Wet,Bourbon
515,83.0,1000.0,South America,Natural / Dry,Bourbon
516,83.0,1000.0,South America,Natural / Dry,Bourbon
517,83.0,1775.0,South America,Washed / Wet,Bourbon
518,83.0,750.0,North America,Washed / Wet,Typica
519,83.0,1200.0,North America,Semi-Washed / Honey,Typica
520,83.0,1200.0,North America,Washed / Wet,Bourbon
521,83.0,1750.0,South America,Natural / Dry,Bourbon/Typica
522,83.0,1625.0,South America,Washed / Wet,Bourbon
523,83.0,1750.0,South America,Washed / Wet,Bourbon
524,83.0,1371.6,Central America,Washed / Wet,Bourbon
525,83.0,1775.0,South America,Washed / Wet,Bourbon
526,83.0,1200.0,Asia Pacific,Washed / Wet,Bourbon
527,83.0,1450.0,South America,Washed / Wet,Bourbon
528,83.0,518.16,Asia Pacific,Natural / Dry,Typica
529,83.0,518.16,Asia Pacific,Natural / Dry,Typica
530,83.0,1800.0,South America,Washed / Wet,Bourbon
531,83.0,1250.0,Central America,Washed / Wet,Bourbon
532,83.0,1200.0,Asia Pacific,Washed / Wet,Others
533,82.92,890.0,Brazil,Natural / Dry,Bourbon
534,82.92,1350.0,Central America,Washed / Wet,Bourbon
535,82.92,1500.0,South America,Washed / Wet,Bourbon
536,82.92,350.0,Asia Pacific,Natural / Dry,Bourbon
537,82.92,2000.0,Africa,Washed / Wet,Ethiopian Varieties
538,82.92,775.0,Asia Pacific,Natural / Dry,Typica
539,82.92,1200.0,Asia Pacific,Washed / Wet,Catimor
540,82.92,1600.0,Asia Pacific,Washed / Wet,Catimor
541,82.92,1059.0,North America,Natural / Dry,Typica
542,82.92,1300.0,North America,Washed / Wet,Bourbon
543,82.92,11000.0,Brazil,Semi-Washed / Honey,Others
544,82.92,1650.0,Africa,Washed / Wet,Typica
545,82.92,1400.0,Africa,Washed / Wet,Typica
546,82.92,1500.0,Central America,Washed / Wet,Bourbon
547,82.92,1500.0,Central America,Natural / Dry,Bourbon
548,82.92,1421.16,Central America,Washed / Wet,Bourbon
549,82.92,1900.0,South America,Washed / Wet,Bourbon
550,82.92,1750.0,South America,Natural / Dry,Bourbon
551,82.92,1706.88,Central America,Washed / Wet,Bourbon
552,82.92,1450.0,South America,Washed / Wet,Bourbon
553,82.92,1248.0,North America,Natural / Dry,Typica
554,82.92,1040.0,Asia Pacific,Natural / Dry,Catimor
555,82.92,1400.0,North America,Washed / Wet,Typica
556,82.92,518.16,Asia Pacific,Washed / Wet,Typica
557,82.92,1450.0,South America,Washed / Wet,Bourbon
558,82.92,1200.0,Asia Pacific,Washed / Wet,Others
559,82.83,1754.0,Africa,Washed / Wet,Bourbon
560,82.83,1700.0,Central America,Washed / Wet,Bourbon
561,82.83,905.0,Brazil,Semi-Washed / Honey,Bourbon
562,82.83,1250.0,Central America,Washed / Wet,Typica
563,82.83,1900.0,Africa,Washed / Wet,Bourbon
564,82.83,1040.0,Asia Pacific,Washed / Wet,Bourbon
565,82.83,1219.2,Central America,Washed / Wet,Bourbon
566,82.83,900.0,Brazil,Natural / Dry,Bourbon/Typica
567,82.83,1600.0,South America,Washed / Wet,Bourbon
568,82.83,1200.0,Asia Pacific,Washed / Wet,Typica
569,82.83,1500.0,Central America,Washed / Wet,Bourbon
570,82.83,1800.0,South America,Natural / Dry,Typica
571,82.83,1775.0,South America,Washed / Wet,Bourbon
572,82.83,1400.0,Africa,Washed / Wet,Bourbon/Typica
573,82.83,1550.0,North America,Washed / Wet,Bourbon
574,82.83,1250.0,North America,Washed / Wet,Bourbon
575,82.83,1310.64,Central America,Washed / Wet,Bourbon
576,82.83,1380.0,North America,Washed / Wet,Typica
577,82.83,1200.0,Central America,Washed / Wet,Bourbon
578,82.75,1100.0,Central America,Washed / Wet,Bourbon
579,82.75,1800.0,Central America,Washed / Wet,Bourbon
580,82.75,1700.0,Central America,Washed / Wet,Bourbon
581,82.75,1219.2,Central America,Washed / Wet,Bourbon
582,82.75,1219.2,Central America,Washed / Wet,Bourbon
583,82.75,1500.0,Asia Pacific,Semi-Washed / Honey,Typica
584,82.75,157.8864,Central America,Washed / Wet,Bourbon
585,82.75,650.0,Asia Pacific,Natural / Dry,Bourbon
586,82.75,1250.0,Central America,Washed / Wet,Bourbon
587,82.75,1850.0,Central America,Washed / Wet,Bourbon
588,82.75,1400.0,Central America,Natural / Dry,Bourbon
589,82.75,905.0,Brazil,Semi-Washed / Honey,Bourbon
590,82.75,1100.0,Asia Pacific,Natural / Dry,Catimor
591,82.75,1500.0,Asia Pacific,Washed / Wet,Catimor
592,82.75,1775.0,South America,Washed / Wet,Bourbon
593,82.75,1442.0,Africa,Washed / Wet,Ethiopian Varieties
594,82.75,1524.0,Central America,Washed / Wet,Typica
595,82.75,165.0,South America,Washed / Wet,Typica
596,82.75,518.16,Asia Pacific,Natural / Dry,Typica
597,82.75,518.16,Asia Pacific,Natural / Dry,Typica
598,82.75,1300.0,South America,Washed / Wet,Bourbon
599,82.75,1550.0,North America,Washed / Wet,Typica
600,82.75,1200.0,North America,Washed / Wet,Typica
601,82.75,1200.0,North America,Natural / Dry,Typica
602,82.75,1625.0,South America,Washed / Wet,Bourbon
603,82.75,1775.0,South America,Washed / Wet,Bourbon
604,82.75,518.16,Asia Pacific,Washed / Wet,Typica
605,82.75,1100.0,Central America,Washed / Wet,Bourbon/Typica
606,82.75,518.16,Asia Pacific,Natural / Dry,Typica
607,82.67,890.0,Brazil,Natural / Dry,Bourbon
608,82.67,934.0,Brazil,Natural / Dry,Bourbon
609,82.67,1300.0,Asia Pacific,Washed / Wet,Catimor
610,82.67,1200.0,Central America,Washed / Wet,Typica
611,82.67,1300.0,North America,Washed / Wet,Bourbon/Typica
612,82.67,1750.0,South America,Washed / Wet,Bourbon
613,82.67,1.0,Brazil,Natural / Dry,Bourbon
614,82.67,1200.0,Brazil,Natural / Dry,Bourbon/Typica
615,82.67,1700.0,Africa,Washed / Wet,Bourbon
616,82.67,1550.0,Africa,Washed / Wet,Bourbon
617,82.67,1200.0,Asia Pacific,Washed / Wet,Typica
618,82.67,1296.0,North America,Natural / Dry,Typica
619,82.67,1650.0,Africa,Washed / Wet,Typica
620,82.67,1240.0,Asia Pacific,Washed / Wet,Typica
621,82.67,1500.0,Asia Pacific,Washed / Wet,Bourbon
622,82.67,1800.0,South America,Washed / Wet,Bourbon
623,82.67,1350.0,Central America,Washed / Wet,Bourbon
624,82.67,1500.0,Central America,Washed / Wet,Bourbon
625,82.67,1200.0,Asia Pacific,Washed / Wet,Bourbon
626,82.67,1100.0,North America,Washed / Wet,Typica
627,82.67,950.0,North America,Washed / Wet,Typica
628,82.67,3850.0,South America,Washed / Wet,Bourbon
629,82.67,518.16,Asia Pacific,Natural / Dry,Typica
630,82.67,1400.0,North America,Washed / Wet,Typica
631,82.67,1800.0,South America,Washed / Wet,Bourbon
632,82.67,1750.0,South America,Washed / Wet,Bourbon
633,82.58,1219.2,Central America,Washed / Wet,Bourbon
634,82.58,1050.0,Asia Pacific,Semi-Washed / Honey,Typica
635,82.58,1000.0,Brazil,Semi-Washed / Honey,Bourbon
636,82.58,200.0,Asia Pacific,Washed / Wet,Typica
637,82.58,1000.0,Brazil,Natural / Dry,Bourbon
638,82.58,1250.0,Asia Pacific,Semi-Washed / Honey,Typica
639,82.58,800.0,Asia Pacific,Washed / Wet,Bourbon
640,82.58,1450.0,Asia Pacific,Washed / Wet,Bourbon
641,82.58,1317.0,Africa,Washed / Wet,Bourbon
642,82.58,1650.0,Africa,Natural / Dry,Typica
643,82.58,1300.0,Central America,Washed / Wet,Bourbon/Typica
644,82.58,1300.0,North America,Washed / Wet,Typica
645,82.58,1421.16,Central America,Natural / Dry,Bourbon
646,82.58,1750.0,South America,Washed / Wet,Bourbon
647,82.58,1750.0,South America,Washed / Wet,Bourbon
648,82.58,1750.0,South America,Washed / Wet,Bourbon
649,82.58,1250.0,North America,Washed / Wet,Typica
650,82.58,1150.0,North America,Washed / Wet,Typica
651,82.58,1775.0,South America,Washed / Wet,Bourbon
652,82.58,975.0,Brazil,Natural / Dry,Bourbon/Typica
653,82.5,890.0,Brazil,Natural / Dry,Bourbon
654,82.5,1250.0,Asia Pacific,Washed / Wet,Typica
655,82.5,1400.0,Central America,Washed / Wet,Bourbon
656,82.5,1219.2,Central America,Washed / Wet,Bourbon
657,82.5,800.0,Asia Pacific,Washed / Wet,Bourbon
658,82.5,1450.0,Asia Pacific,Washed / Wet,Bourbon
659,82.5,1600.0,Africa,Washed / Wet,Bourbon
660,82.5,1600.0,Africa,Washed / Wet,Bourbon
661,82.5,1600.0,North America,Washed / Wet,Typica
662,82.5,1260.0,Brazil,Semi-Washed / Honey,Bourbon
663,82.5,1310.64,Central America,Washed / Wet,Bourbon
664,82.5,1750.0,South America,Washed / Wet,Bourbon
665,82.5,1310.64,Central America,Washed / Wet,Bourbon
666,82.5,1679.0,North America,Washed / Wet,Typica
667,82.5,1100.0,North America,Washed / Wet,Typica
668,82.5,1650.0,North America,Semi-Washed / Honey,Typica
669,82.5,1421.16,Central America,Natural / Dry,Bourbon
670,82.5,1250.0,Brazil,Semi-Washed / Honey,Bourbon
671,82.5,1775.0,South America,Washed / Wet,Bourbon
672,82.5,518.16,Asia Pacific,Washed / Wet,Typica
673,82.5,1600.0,Central America,Washed / Wet,Bourbon
674,82.42,1500.0,Central America,Washed / Wet,Bourbon/Typica
675,82.42,1700.0,Central America,Washed / Wet,Bourbon
676,82.42,1700.0,Central America,Washed / Wet,Bourbon
677,82.42,157.8864,Central America,Washed / Wet,Bourbon
678,82.42,1100.0,Central America,Washed / Wet,Bourbon
679,82.42,1600.0,South America,Washed / Wet,Bourbon
680,82.42,1600.0,Asia Pacific,Washed / Wet,Catimor
681,82.42,1000.0,Brazil,Natural / Dry,Bourbon
682,82.42,2285.0,Africa,Washed / Wet,Others
683,82.42,1.0,Brazil,Natural / Dry,Bourbon
684,82.42,1400.0,Central America,Washed / Wet,Bourbon
685,82.42,1296.0,North America,Washed / Wet,Typica
686,82.42,1000.0,Brazil,Semi-Washed / Honey,Bourbon/Typica
687,82.42,1200.0,South America,Washed / Wet,Typica
688,82.42,1260.0,Brazil,Natural / Dry,Bourbon
689,82.42,1170.0,North America,Washed / Wet,Bourbon
690,82.42,1300.0,Central America,Washed / Wet,Bourbon/Typica
691,82.42,1775.0,South America,Washed / Wet,Bourbon
692,82.42,1560.0,North America,Washed / Wet,Typica
693,82.42,1400.0,North America,Semi-Washed / Honey,Typica
694,82.42,1300.0,North America,Washed / Wet,Typica
695,82.42,1170.0,North America,Washed / Wet,Bourbon
696,82.42,1300.0,North America,Washed / Wet,Typica
697,82.42,1350.0,North America,Washed / Wet,Bourbon/Typica
698,82.42,1150.0,North America,Washed / Wet,Bourbon
699,82.42,1250.0,North America,Washed / Wet,Bourbon
700,82.42,1450.0,North America,Washed / Wet,Typica
701,82.42,442.0,South America,Natural / Dry,Bourbon
702,82.42,1000.0,Brazil,Natural / Dry,Bourbon/Typica
703,82.42,1750.0,South America,Washed / Wet,Bourbon
704,82.42,1750.0,South America,Washed / Wet,Bourbon
705,82.33,1396.0,Central America,Washed / Wet,Bourbon
706,82.33,982.0,Brazil,Natural / Dry,Bourbon/Typica
707,82.33,1000.0,Brazil,Natural / Dry,Bourbon
708,82.33,934.0,Brazil,Natural / Dry,Bourbon
709,82.33,1850.0,Central America,Washed / Wet,Bourbon
710,82.33,1550.0,Central America,Washed / Wet,Bourbon/Typica
711,82.33,1580.0,Asia Pacific,Semi-Washed / Honey,Catimor
712,82.33,1268.0,Brazil,Natural / Dry,Bourbon
713,82.33,1000.0,Brazil,Natural / Dry,Bourbon/Typica
714,82.33,1676.4,Central America,Washed / Wet,Bourbon
715,82.33,1450.0,Africa,Washed / Wet,Ethiopian Varieties
716,82.33,1100.0,Brazil,Natural / Dry,Bourbon
717,82.33,1524.0,Central America,Washed / Wet,Typica
718,82.33,1300.0,North America,Washed / Wet,Typica
719,82.33,1300.0,South America,Washed / Wet,Bourbon
720,82.33,200.0,Asia Pacific,Semi-Washed / Honey,Typica
721,82.33,600.0,Asia Pacific,Washed / Wet,Typica
722,82.33,1310.64,Central America,Washed / Wet,Bourbon
723,82.33,1750.0,South America,Washed / Wet,Bourbon
724,82.33,1300.0,North America,Washed / Wet,Typica
725,82.33,1300.0,Central America,Washed / Wet,Bourbon
726,82.33,1752.6,Central America,Washed / Wet,Bourbon
727,82.33,441.0,North America,Natural / Dry,Typica
728,82.33,1170.0,North America,Washed / Wet,Bourbon
729,82.33,1310.64,Central America,Washed / Wet,Bourbon
730,82.33,1100.0,Brazil,Natural / Dry,Bourbon/Typica
731,82.33,1300.0,North America,Washed / Wet,Typica
732,82.33,950.0,Brazil,Washed / Wet,Bourbon/Typica
733,82.33,442.0,South America,Natural / Dry,Bourbon
734,82.25,1100.0,Brazil,Washed / Wet,Bourbon/Typica
735,82.25,750.0,Asia Pacific,Washed / Wet,Typica
736,82.25,1450.0,Central America,Washed / Wet,Typica
737,82.25,1.0,Brazil,Natural / Dry,Bourbon
738,82.25,1500.0,Central America,Washed / Wet,Bourbon
739,82.25,1350.0,Central America,Washed / Wet,Bourbon/Typica
740,82.25,1180.0,Africa,Washed / Wet,Ethiopian Varieties
741,82.25,1100.0,Brazil,Natural / Dry,Bourbon
742,82.25,650.0,Asia Pacific,Washed / Wet,Typica
743,82.25,1338.0,North America,Washed / Wet,Bourbon/Typica
744,82.25,518.16,Asia Pacific,Natural / Dry,Typica
745,82.25,533.0,North America,Washed / Wet,Bourbon
746,82.25,1390.8024,Central America,Washed / Wet,Bourbon
747,82.25,1170.0,North America,Washed / Wet,Bourbon
748,82.25,1250.0,North America,Washed / Wet,Typica
749,82.25,1350.0,Central America,Washed / Wet,Bourbon
750,82.25,1100.0,North America,Washed / Wet,Typica
751,82.25,900.0,North America,Washed / Wet,Typica
752,82.25,1750.0,South America,Washed / Wet,Bourbon
753,82.25,1775.0,South America,Washed / Wet,Bourbon
754,82.25,1065.0,Brazil,Natural / Dry,Bourbon/Typica
755,82.25,1750.0,South America,Washed / Wet,Bourbon
756,82.17,934.0,Brazil,Natural / Dry,Bourbon
757,82.17,1500.0,Central America,Washed / Wet,Bourbon
758,82.17,1000.0,Central America,Washed / Wet,Bourbon
759,82.17,1650.0,Africa,Washed / Wet,Bourbon
760,82.17,1600.0,Africa,Washed / Wet,Bourbon
761,82.17,1.0,Brazil,Natural / Dry,Bourbon
762,82.17,800.0,Asia Pacific,Washed / Wet,Bourbon
763,82.17,1350.0,Central America,Washed / Wet,Bourbon/Typica
764,82.17,1500.0,Central America,Washed / Wet,Bourbon
765,82.17,1000.0,Brazil,Natural / Dry,Bourbon/Typica
766,82.17,1700.0,Africa,Washed / Wet,Bourbon
767,82.17,1100.0,North America,Washed / Wet,Typica
768,82.17,1400.0,North America,Washed / Wet,Typica
769,82.17,1200.0,Asia Pacific,Washed / Wet,Typica
770,82.17,800.0,Asia Pacific,Washed / Wet,Typica
771,82.17,1750.0,South America,Washed / Wet,Bourbon
772,82.17,1144.0,North America,Washed / Wet,Typica
773,82.17,1350.0,Central America,Washed / Wet,Bourbon
774,82.17,1000.0,North America,Washed / Wet,Typica
775,82.17,1200.0,North America,Washed / Wet,Typica
776,82.17,1800.0,South America,Washed / Wet,Bourbon
777,82.08,1300.0,Asia Pacific,Washed / Wet,Bourbon
778,82.08,1750.0,South America,Washed / Wet,Bourbon
779,82.08,894.0,Brazil,Natural / Dry,Bourbon
780,82.08,1.0,Brazil,Natural / Dry,Bourbon
781,82.08,1300.0,Central America,Washed / Wet,Bourbon
782,82.08,1500.0,Africa,Washed / Wet,Bourbon
783,82.08,1600.0,Africa,Washed / Wet,Bourbon
784,82.08,1750.0,South America,Washed / Wet,Bourbon
785,82.08,13.0,Central America,Washed / Wet,Bourbon
786,82.08,518.16,Asia Pacific,Natural / Dry,Typica
787,82.08,1300.0,North America,Washed / Wet,Typica
788,82.08,1800.0,North America,Washed / Wet,Typica
789,82.08,1250.0,North America,Washed / Wet,Typica
790,82.08,1040.0,Asia Pacific,Natural / Dry,Catimor
791,82.08,1250.0,North America,Washed / Wet,Typica
792,82.08,518.16,Asia Pacific,Washed / Wet,Typica
793,82.08,1600.0,South America,Washed / Wet,Bourbon
794,82.0,1600.0,Central America,Washed / Wet,Bourbon
795,82.0,1600.0,Central America,Natural / Dry,Bourbon
796,82.0,944.0,Brazil,Natural / Dry,Bourbon
797,82.0,1650.0,Africa,Washed / Wet,Bourbon
798,82.0,1250.0,Asia Pacific,Washed / Wet,Catimor
799,82.0,1350.0,Africa,Washed / Wet,Bourbon
800,82.0,2500.0,Africa,Washed / Wet,Ethiopian Varieties
801,82.0,600.0,Asia Pacific,Washed / Wet,Typica
802,82.0,800.0,Asia Pacific,Washed / Wet,Bourbon
803,82.0,1300.0,Central America,Washed / Wet,Bourbon/Typica
804,82.0,1400.0,Central America,Washed / Wet,Bourbon
805,82.0,1900.0,South America,Washed / Wet,Bourbon
806,82.0,650.0,Asia Pacific,Washed / Wet,Typica
807,82.0,1038.5,Brazil,Natural / Dry,Bourbon/Typica
808,82.0,940.0,North America,Washed / Wet,Typica
809,82.0,1000.0,Brazil,Natural / Dry,Bourbon/Typica
810,82.0,1050.0,Brazil,Semi-Washed / Honey,Bourbon/Typica
811,82.0,1676.0,Central America,Natural / Dry,Bourbon
812,82.0,950.0,Brazil,Semi-Washed / Honey,Bourbon/Typica
813,82.0,1402.08,Central America,Washed / Wet,Bourbon
814,82.0,1775.0,South America,Washed / Wet,Bourbon
815,81.92,1901.0,Central America,Washed / Wet,Bourbon
816,81.92,1219.2,Central America,Washed / Wet,Bourbon
817,81.92,1400.0,Central America,Washed / Wet,Bourbon
818,81.92,1020.0,Brazil,Natural / Dry,Bourbon/Typica
819,81.92,1250.0,Central America,Washed / Wet,Bourbon
820,81.92,1550.0,Central America,Washed / Wet,Bourbon/Typica
821,81.92,1877.0,Africa,Washed / Wet,Bourbon
822,81.92,1140.0,Central America,Washed / Wet,Bourbon
823,81.92,1250.0,Africa,Washed / Wet,Bourbon
824,81.92,1300.0,Central America,Washed / Wet,Bourbon/Typica
825,81.92,1000.0,Asia Pacific,Washed / Wet,Typica
826,81.92,1300.0,North America,Washed / Wet,Bourbon
827,81.92,981.0,North America,Semi-Washed / Honey,Typica
828,81.92,690.0,North America,Washed / Wet,Bourbon/Typica
829,81.92,1650.0,North America,Washed / Wet,Typica
830,81.92,1000.0,North America,Washed / Wet,Bourbon
831,81.92,1100.0,Brazil,Natural / Dry,Bourbon/Typica
832,81.92,1600.0,South America,Washed / Wet,Bourbon
833,81.83,157.8864,Central America,Washed / Wet,Bourbon
834,81.83,1900.0,Central America,Semi-Washed / Honey,Bourbon/Typica
835,81.83,973.0,Brazil,Natural / Dry,Bourbon/Typica
836,81.83,1250.0,Asia Pacific,Washed / Wet,Typica
837,81.83,3280.0,Central America,Washed / Wet,Bourbon
838,81.83,1.0,Brazil,Natural / Dry,Bourbon
839,81.83,1.0,Brazil,Natural / Dry,Bourbon
840,81.83,4001.0,Asia Pacific,Washed / Wet,Bourbon/Typica
841,81.83,1425.0,North America,Washed / Wet,Bourbon/Typica
842,81.83,1400.0,Central America,Washed / Wet,Bourbon/Typica
843,81.83,1300.0,Central America,Washed / Wet,Bourbon
844,81.83,700.0,Asia Pacific,Washed / Wet,Typica
845,81.83,1300.0,Asia Pacific,Washed / Wet,Typica
846,81.83,1556.0,Africa,Washed / Wet,Ethiopian Varieties
847,81.83,1100.0,Brazil,Natural / Dry,Bourbon
848,81.83,1350.0,Central America,Natural / Dry,Bourbon
849,81.83,1550.0,North America,Washed / Wet,Typica
850,81.83,1775.0,South America,Washed / Wet,Bourbon
851,81.83,518.16,Asia Pacific,Natural / Dry,Typica
852,81.83,1250.0,Brazil,Semi-Washed / Honey,Bourbon
853,81.83,1310.64,Central America,Washed / Wet,Bourbon
854,81.83,1500.0,North America,Washed / Wet,Bourbon
855,81.83,1250.0,North America,Semi-Washed / Honey,Typica
856,81.83,925.0,Brazil,Natural / Dry,Bourbon/Typica
857,81.83,1700.0,South America,Washed / Wet,Bourbon
858,81.83,518.16,Asia Pacific,Natural / Dry,Typica
859,81.75,1700.0,Central America,Washed / Wet,Bourbon
860,81.75,1040.0,Asia Pacific,Washed / Wet,Bourbon
861,81.75,1600.0,Africa,Washed / Wet,Bourbon
862,81.75,1000.0,Brazil,Natural / Dry,Bourbon
863,81.75,774.0,North America,Washed / Wet,Bourbon
864,81.75,1250.0,North America,Washed / Wet,Bourbon/Typica
865,81.75,1100.0,North America,Washed / Wet,Typica
866,81.75,1550.0,North America,Washed / Wet,Bourbon
867,81.75,1650.0,North America,Washed / Wet,Typica
868,81.75,1750.0,South America,Washed / Wet,Bourbon
869,81.75,1775.0,South America,Washed / Wet,Bourbon
870,81.67,890.0,Brazil,Natural / Dry,Bourbon
871,81.67,1700.0,Central America,Washed / Wet,Bourbon
872,81.67,1219.2,Central America,Washed / Wet,Bourbon
873,81.67,1450.0,Central America,Washed / Wet,Bourbon/Typica
874,81.67,1800.0,Africa,Washed / Wet,Bourbon
875,81.67,1180.0,Central America,Washed / Wet,Bourbon
876,81.67,1750.0,South America,Washed / Wet,Bourbon
877,81.67,1.0,Brazil,Natural / Dry,Bourbon
878,81.67,1500.0,Africa,Washed / Wet,Bourbon
879,81.67,1700.0,Africa,Washed / Wet,Bourbon
880,81.67,1260.0,Brazil,Washed / Wet,Bourbon
881,81.67,1350.0,Asia Pacific,Semi-Washed / Honey,Typica
882,81.67,1400.0,Central America,Natural / Dry,Bourbon
883,81.67,1850.0,Central America,Washed / Wet,Bourbon
884,81.67,1300.0,North America,Washed / Wet,Typica
885,81.67,150.0,Asia Pacific,Semi-Washed / Honey,Typica
886,81.67,750.0,Asia Pacific,Washed / Wet,Typica
887,81.67,1400.0,North America,Washed / Wet,Typica
888,81.67,1752.6,Central America,Washed / Wet,Bourbon
889,81.67,1650.0,North America,Washed / Wet,Typica
890,81.67,1400.0,North America,Washed / Wet,Bourbon
891,81.67,1200.0,North America,Washed / Wet,Bourbon
892,81.67,1400.0,North America,Washed / Wet,Bourbon
893,81.67,940.0,North America,Semi-Washed / Honey,Bourbon
894,81.67,518.16,Asia Pacific,Washed / Wet,Typica
895,81.58,1200.0,Central America,Washed / Wet,Catimor
896,81.58,190164.0,Central America,Washed / Wet,Bourbon
897,81.58,800.0,Asia Pacific,Washed / Wet,Typica
898,81.58,13.0,Central America,Washed / Wet,Bourbon
899,81.58,1800.0,Africa,Washed / Wet,Bourbon
900,81.58,1100.0,Africa,Washed / Wet,Ethiopian Varieties
901,81.58,850.0,Asia Pacific,Semi-Washed / Honey,Typica
902,81.58,1260.0,Brazil,Washed / Wet,Bourbon
903,81.58,1310.64,Central America,Washed / Wet,Bourbon
904,81.58,1400.0,North America,Washed / Wet,Typica
905,81.58,1600.0,North America,Natural / Dry,Typica
906,81.58,1650.0,North America,Natural / Dry,Typica
907,81.58,1499.9208,Asia Pacific,Washed / Wet,Bourbon
908,81.58,1200.0,Asia Pacific,Washed / Wet,Bourbon
909,81.58,1600.2,Central America,Washed / Wet,Bourbon
910,81.5,1219.2,Central America,Washed / Wet,Bourbon
911,81.5,1265.0,Central America,Washed / Wet,Bourbon
912,81.5,1400.0,Central America,Washed / Wet,Bourbon
913,81.5,1219.2,Central America,Washed / Wet,Bourbon
914,81.5,180.0,Asia Pacific,Natural / Dry,Typica
915,81.5,1219.2,Asia Pacific,Washed / Wet,Bourbon/Typica
916,81.5,1200.0,Central America,Washed / Wet,Bourbon
917,81.5,1599.0,Africa,Washed / Wet,Ethiopian Varieties
918,81.5,1219.2,Central America,Washed / Wet,Bourbon
919,81.5,1200.0,Brazil,Semi-Washed / Honey,Bourbon
920,81.5,825.0,North America,Washed / Wet,Typica
921,81.5,600.0,Asia Pacific,Washed / Wet,Typica
922,81.5,1150.0,North America,Washed / Wet,Typica
923,81.5,1600.0,North America,Washed / Wet,Typica
924,81.5,1100.0,North America,Washed / Wet,Bourbon/Typica
925,81.5,1000.0,North America,Semi-Washed / Honey,Typica
926,81.5,1250.0,North America,Washed / Wet,Bourbon
927,81.5,1100.0,North America,Natural / Dry,Typica
928,81.5,1400.0,Asia Pacific,Washed / Wet,Typica
929,81.5,125.0,Brazil,Semi-Washed / Honey,Bourbon
930,81.5,1425.0,Central America,Washed / Wet,Bourbon
931,81.5,1450.0,South America,Washed / Wet,Bourbon
932,81.5,518.16,Asia Pacific,Natural / Dry,Typica
933,81.42,1100.0,North America,Washed / Wet,Bourbon/Typica
934,81.42,1371.6,Central America,Washed / Wet,Bourbon/Typica
935,81.42,1100.0,Brazil,Natural / Dry,Bourbon/Typica
936,81.42,1400.0,Central America,Washed / Wet,Bourbon/Typica
937,81.42,110.0,Asia Pacific,Washed / Wet,Typica
938,81.42,1422.0,Africa,Washed / Wet,Ethiopian Varieties
939,81.42,1100.0,Brazil,Natural / Dry,Bourbon
940,81.42,1550.0,Central America,Washed / Wet,Bourbon
941,81.42,1550.0,North America,Washed / Wet,Typica
942,81.42,1200.0,South America,Washed / Wet,Typica
943,81.42,1310.64,Central America,Washed / Wet,Bourbon
944,81.42,763.0,North America,Washed / Wet,Bourbon
